location,size,rooms,land_area,description,seller,price
Lam (Frahels),138 m²,3 Zi.,841 m² Grundstück,Neues Einfamilienhaus in ruhiger Wohnlage mit toller Fernsicht,VON POLL IMMOBILIEN Cham - Mario Aschenbrenner,519.000 €
"Pfälzer-Wald-Str. 13, Nürnberg (Falkenheim)",102 m²,6 Zi.,508 m² Grundstück,Investieren Sie krisensicher in Haus und Grund - Ruhige Wohnlage - Kauf ohne Makler - Renovierung/Sanierung notwendig ,Privater Anbieter,498.000 €
Saal a.d.Donau (Saal),143 m²,5 Zi.,300 m² Grundstück,Ihr Traumhaus - in Saal a.d.Donau vor den Toren Regensburgs!,Privater Anbieter,629.000 €
Augsburg (Haunstetten),200 m²,8 Zi.,968 m² Grundstück,Gepflegtes Zweifamilienhaus auf Traumgrundstück mit Ausbaupotenzial,Gerschlauer GmbH,1.080.000 €
München Forstenried (Thalk.Obersendl.-Forsten-Fürstenr.-Solln),150 m²,5 Zi.,516 m² Grundstück,DHH für die ganze Familie mit Potenzial in Forstenried,Siemax Immobilien GmbH,1.350.000 €
"Dachsweg 3, Pfaffenhofen an der Roth (Pfaffenhofen)",138.45 m²,5 Zi.,473 m² Grundstück,Freistehendes Einfamilienhaus - 138 m² - Grundstück 473 m².  TOP LAGE! Käuferprovisionsfrei!,EXCELLENCE Maklerhaus GmbH &amp; Co. KG,465.000 €
"Gustavstrasse 29, Fürth (Innenstadt)",588.663 m²,,300 m² Grundstück,2 Mehrfamilienhäuser in Top Lage / LEER,Gewerblicher Anbieter,1.210.000 €
Nürnberg (Rabus),600 m²,27 Zi.,240 m² Grundstück,Wunderschönes MFH Denkmal mit 10 Wohnungen + riesiger Ausbaureserve im DG und Balkonen,Privater Anbieter,1.420.000 €
"Taufkirchen (Taufkirchen, Vils)",210 m²,7 Zi.,567 m² Grundstück,Provisionsfrei - Traumhaftes Einfamilienhaus mit großem Grundstück,Privater Anbieter,830.000 €
"Triesdorfer Str. 37a, Ansbach (Ansbach)",156 m²,11 Zi.,290 m² Grundstück,Provisionsfrei - EFH zum Verlieben,Privater Anbieter,425.000 €
Oberschneiding (Niederwalting),196 m²,4 Zi.,393 m² Grundstück,Stilvoller Flachdachkubus. Wohnen auf dem Land. Arbeiten in der Stadt. Provisionsfrei und bezugsfertig. ,Privater Anbieter,769.000 €
Nördlingen (Nördlingen),185 m²,,705 m² Grundstück,Charmantes 2-Familienhaus mit reichlich Gestaltungsmöglichkeiten *Erbbaurecht,Privater Anbieter,396.000 €
Wolnzach (Geroldshausen),140 m²,8 Zi.,635 m² Grundstück,"EFH mit Garten, ruhig, grün,top Lage, provisionsfrei!!!",Privater Anbieter,550.000 €
Grafrath (Grafrath),160 m²,6 Zi.,1133 m² Grundstück,"Reizvolles, großes Hanggrundstück mit Altbestand in ruhiger Lage.",Privater Anbieter,1.250.000 €
Apfeldorf (Apfeldorf),136.71 m²,5 Zi.,788 m² Grundstück,"Einfamilienhaus mit Bergblick im Grünen in Apfeldorf, Landsberg am Lech, mit liebevoll angelegtem großen Garten",Privater Anbieter,839.000 €
"Thierbergstr. 6, Kiefersfelden (Kiefersfelden)",146 m²,6 Zi.,442 m² Grundstück,Haus zum Kauf in 83088 Kiefersfelden,Privater Anbieter,698.000 €
Hepberg,165 m²,5 Zi.,530 m² Grundstück,Sehr gut gepflegtes Einfamilienhaus mit Garten und Doppelgarage in Hepberg,Meier &amp; Katzenbogen Immobilienagentur,949.000 €
Neutraubling,137.43 m²,5 Zi.,249 m² Grundstück,Modernisiertes Reiheneckhaus in ruhiger Lage mit bester Infrastruktur,DAHLER Regensburg,650.000 €
Ingolstadt (Seehof),120 m²,4 Zi.,302 m² Grundstück,Doppelhaushälfte mit Garten - Willkommen zuhause!,Privater Anbieter,739.000 €
